date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:10	150554/150554	---M--	200	added ('OK')	image/jpeg	etag:%224f22f261a332a696b8fdf3247e277472%22	https://cdn.pixabay.com/photo/2014/03/11/22/57/wellness-285589_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2014/03/11/22/57/wellness-285589_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:10	76850/76850	---MCZ	200	added ('OK')	text/html	etag:W/%2212c32-+t8fkD6p+RST14U2zO3+B+uUst8%22	https://massagesalon-haarlem.fast-results.net/page/let-go-top-triggerpoint-massage-haarlem-I8OVaVDXoM	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-top-triggerpoint-massage-haarlem-I8OVaVDXoM.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:10	33660/33660	---M--	200	added ('OK')	image/jpeg	etag:%22fc3f8e329ca18d24356443544868d13d%22	https://cdn.pixabay.com/photo/2020/09/17/09/53/massage-5578601_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/09/17/09/53/massage-5578601_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:11	76261/76261	---MCZ	200	added ('OK')	text/html	etag:W/%22129e5-ucVDH0oEh7vItw+DdSkF+qypDF4%22	https://massagesalon-haarlem.fast-results.net/page/relax-top-haarlem-relax-massage-lIfO0gDwRb	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-top-haarlem-relax-massage-lIfO0gDwRb.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:11	33862/33862	---M--	200	added ('OK')	image/jpeg	etag:%22336ba5f50abf3b587f8fe759609e4922%22	https://cdn.pixabay.com/photo/2018/11/05/09/53/massage-3795691_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2018/11/05/09/53/massage-3795691_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:11	77337/77337	---MCZ	200	added ('OK')	text/html	etag:W/%2212e19-IL5vWxO7OzCos3naaim5aZQNIho%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-haarlem-sport-massage-B8Lj4KZMkH	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-haarlem-sport-massage-B8Lj4KZMkH.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:11	40320/40320	---M--	200	added ('OK')	image/jpeg	etag:%22785c10217f2cee0c90bf68892b6c4725%22	https://cdn.pixabay.com/photo/2021/03/06/13/35/therapy-6073728_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2021/03/06/13/35/therapy-6073728_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:12	76800/76800	---MCZ	200	added ('OK')	text/html	etag:W/%2212c00-yZqj/Lv2BYYkq7VCmBT5hTFDN5I%22	https://massagesalon-haarlem.fast-results.net/page/unwind-top-voet-massage-haarlem-CiZALB950t	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-top-voet-massage-haarlem-CiZALB950t.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:12	68201/68201	---MCZ	200	added ('OK')	text/html	etag:W/%2210a69-H2JYX8GKNA9f/tpGBhz6mneDHqI%22	https://massagesalon-haarlem.fast-results.net/categories	C:/My%20Web%20Sites/massagesalon-haarlem/categories.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:12	56781/56781	---M--	200	added ('OK')	image/jpeg	etag:%223a4026a7ecc5bda0b2dba2a8f525804f%22	https://cdn.pixabay.com/photo/2018/07/08/19/20/foot-massage-3524546_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2018/07/08/19/20/foot-massage-3524546_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:12	77316/77316	---MCZ	200	added ('OK')	text/html	etag:W/%2212e04-CumQubsvG9dUMQYZUfdByxMBBRo%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-top-haarlem-sport-massage-IeTzAj_ys	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-top-haarlem-sport-massage-IeTzAj_ys.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:13	87123/87123	---M--	200	added ('OK')	image/jpeg	etag:%2278404ac9242d513d24ca4d9211a60f5a%22	https://cdn.pixabay.com/photo/2016/08/11/02/23/massage-therapy-1584711_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2016/08/11/02/23/massage-therapy-1584711_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/)
